,cases,deaths,recovered,hospitalized,transmission_rate,mutation_count,severity_level,case_fatality_rate,hospitalized_rate,recovery_rate,variant_prevalence,mutation_transmission_ratio,mutation_transmission_interaction,variant_Beta,variant_Delta,variant_Epsilon,variant_Gamma,variant_Lambda,variant_Mu,variant_Omicron,variant_Theta,variant_Zeta
609,67596,645,27576,1515,2.38,6,Moderate,0.9541984732824428,2.2412568791052725,40.79531333214983,1.3448362097487694,2.5210084033613445,14.28,0,0,1,0,0,0,0,0,0
659,68126,4400,38774,2819,2.05,5,Mild,6.4586207908874735,4.137920911252679,56.91512785133429,1.345284484244753,2.439024390243903,10.25,0,0,0,0,0,0,1,0,0
700,78571,3807,83879,6090,1.78,10,Mild,4.845299156177216,7.750951368825648,106.75567321276299,1.570374130828868,5.617977528089887,17.8,0,0,0,0,0,1,0,0,0
908,62607,1448,60874,6714,0.75,10,Critical,2.3128404172057437,10.724040442761991,97.23193892056798,1.236300761898706,13.333333333333334,7.5,0,0,0,1,0,0,0,0,0
640,18454,1948,4736,7877,1.32,1,Severe,10.555977023951447,42.68451284274412,25.66381272352877,0.36883435631869177,0.7575757575757576,1.32,0,0,0,0,0,0,0,0,0
626,79163,2294,39617,9647,1.15,4,Severe,2.8978184252744335,12.186248626252164,50.04484418225687,1.5749640344449645,3.4782608695652177,4.6,0,1,0,0,0,0,0,0,0
621,72802,2979,55076,7519,1.85,11,Moderate,4.091920551633197,10.32801296667674,75.6517678085767,1.3619168378057729,5.945945945945946,20.35,0,0,0,0,1,0,0,0,0
618,56215,1673,60460,8466,0.77,7,Severe,2.9760740016009963,15.060037356577427,107.55136529396067,1.3713082741982305,9.09090909090909,5.390000000000001,0,0,0,0,0,0,1,0,0
599,76121,3670,25983,2691,1.14,11,Severe,4.821271396855007,3.5351611250509056,34.13381327097647,1.625313736731245,9.649122807017545,12.54,0,0,0,0,0,0,0,0,0
569,58578,276,2173,4807,1.49,10,Mild,0.47116664959541127,8.206152480453413,3.7095838027928574,1.1665543154324793,6.7114093959731544,14.9,0,0,0,1,0,0,0,0,0
83,25656,3671,71095,3632,2.04,5,Severe,14.308543810414717,14.156532584970376,277.10866853757403,0.5053036598078956,2.450980392156863,10.2,0,0,0,0,0,0,0,0,0
169,69724,1422,66456,1363,1.04,1,Mild,2.0394699099305833,1.954850553611382,95.31294819574322,1.3871732038659566,0.9615384615384615,1.04,1,0,0,0,0,0,0,0,0
415,30473,2849,47161,2582,1.49,15,Mild,9.349260000656319,8.473074524989336,154.7632330259574,0.60905436978972,10.06711409395973,22.35,0,0,0,0,0,0,1,0,0
859,87692,3770,61637,2158,0.64,5,Critical,4.299137891711901,2.460885827669571,70.28805364229348,1.752672719968501,7.8125,3.2,0,0,0,0,0,0,0,0,1
154,86616,660,77323,5992,1.25,15,Critical,0.7619839290662234,6.917890459037592,89.27103537452665,1.6203371998486968,12.0,18.75,0,0,0,0,0,0,0,0,1
375,3860,2606,30316,7219,0.83,12,Mild,67.51295336787565,187.02072538860105,785.3886010362694,0.07679548744940898,14.457831325301205,9.959999999999999,0,0,1,0,0,0,0,0,0
985,31231,3155,28671,9918,2.41,12,Critical,10.102142102398258,31.756908200185713,91.8030162338702,0.6151051839515275,4.979253112033195,28.92,0,1,0,0,0,0,0,0,0
219,23667,4082,75526,9719,1.28,10,Critical,17.247644399374657,41.065618794101496,319.11944902184473,0.4708597931256897,7.8125,12.8,0,0,1,0,0,0,0,0,0
320,37518,3922,20404,5595,2.2,8,Severe,10.453648915187378,14.912841835918758,54.38456207686977,0.7389297906404984,3.6363636363636362,17.6,0,0,0,0,1,0,0,0,0
359,60448,1924,53642,6497,2.38,13,Severe,3.182901005823187,10.748080995235574,88.74073583906828,1.1905439518267724,5.46218487394958,30.939999999999998,0,0,0,0,0,0,0,0,0
403,10158,4117,18866,281,1.81,8,Severe,40.52963181728686,2.766292577278992,185.7255365229376,0.1945849152057633,4.419889502762431,14.48,0,0,0,0,0,0,1,0,0
365,55498,2616,70254,4613,2.61,1,Severe,4.713683375977513,8.312011243648419,126.5883455259649,1.1092212586417447,0.3831417624521073,2.61,0,0,0,0,0,0,0,0,0
653,62420,2972,61742,304,0.58,2,Mild,4.761294456904838,0.4870233899391221,98.91380967638578,1.3348568065614563,3.4482758620689657,1.16,0,0,0,1,0,0,0,0,0
206,92593,1380,54250,6266,2.19,12,Moderate,1.4903934422688538,6.767250224099014,58.5897422051343,1.9770191514188746,5.47945205479452,26.28,0,1,0,0,0,0,0,0,0
572,13383,1913,80172,8043,2.78,1,Severe,14.29425390420683,60.09863259358889,599.0585070611971,0.32646479824948715,0.3597122302158274,2.78,0,1,0,0,0,0,0,0,0
957,52055,1262,6878,8279,2.91,11,Moderate,2.424358851215061,15.904331956584382,13.212947843626932,1.035644844346887,3.7800687285223367,32.010000000000005,0,0,0,0,0,1,0,0,0
933,44964,4627,18674,5690,0.8,16,Mild,10.290454585890934,12.654568098923583,41.531002579841655,0.8945679527656024,20.0,12.8,0,0,0,0,0,0,0,0,0
518,22152,294,16856,2726,1.17,17,Critical,1.3271939328277356,12.30588660166125,76.09245214879017,0.4374356617883006,14.529914529914532,19.89,0,0,0,1,0,0,0,0,0
19,65131,4781,45116,4223,2.3,18,Severe,7.340590502218605,6.483855614070105,69.26962583101749,1.2476383256808987,7.82608695652174,41.4,1,0,0,0,0,0,0,0,0
890,23654,2587,82341,3777,2.83,6,Severe,10.936839435190665,15.967701023082775,348.1060285786759,0.47276513841781376,2.1201413427561837,16.98,1,0,0,0,0,0,0,0,0
157,46838,3954,54078,8425,1.51,12,Severe,8.441863444211965,17.987531491523974,115.45753448054998,0.8972207381775489,7.947019867549669,18.12,0,0,0,1,0,0,0,0,0
373,35920,1473,77046,5628,2.15,3,Severe,4.100779510022272,15.668151447661469,214.4933184855234,0.7153305167526145,1.3953488372093024,6.449999999999999,0,0,0,1,0,0,0,0,0
570,64453,60,90760,5078,2.83,17,Moderate,0.09309108963120413,7.878609219120909,140.81578824880145,1.282305583569108,6.007067137809187,48.11,1,0,0,0,0,0,0,0,0
81,90401,4282,67618,7364,2.13,1,Moderate,4.736673266888641,8.145927589296578,74.79784515658012,1.8002949344363337,0.4694835680751174,2.13,0,0,0,0,0,0,0,0,1
727,84150,3193,4725,9279,1.07,12,Severe,3.7944147355912063,11.026737967914437,5.614973262032086,1.7967466395072877,11.214953271028037,12.84,0,0,0,0,0,0,1,0,0
744,70363,3385,65830,2716,2.06,3,Critical,4.810767022440771,3.859983229822492,93.5576936742322,1.3858232544068818,1.4563106796116505,6.18,0,0,0,1,0,0,0,0,0
683,58753,717,23912,250,1.15,14,Mild,1.220363215495379,0.4255101867138699,40.69919833880823,1.0991002990522591,12.173913043478262,16.099999999999998,0,0,0,0,0,0,0,1,0
558,91768,241,40519,4823,1.97,17,Critical,0.26261877778746406,5.255644669165722,44.153735506930516,1.8341384637831204,8.629441624365482,33.49,0,0,0,0,0,0,0,0,1
657,49033,4166,60422,928,2.44,6,Severe,8.496318805702282,1.8926029408765526,123.22721432504639,0.9172669474482907,2.459016393442623,14.64,0,0,0,0,1,0,0,0,0
767,259,489,10820,7274,2.51,10,Moderate,188.8030888030888,2808.4942084942086,4177.606177606177,0.0051010932292736575,3.9840637450199208,25.099999999999998,0,0,0,0,1,0,0,0,0
408,64300,1518,34267,3342,2.62,13,Mild,2.3608087091757386,5.19751166407465,53.292379471228614,1.2697324419008547,4.961832061068702,34.06,0,0,0,1,0,0,0,0,0
287,42170,1331,76574,2649,2.77,19,Mild,3.1562722314441545,6.281716860327247,181.58406450082998,0.8078013264645637,6.859205776173285,52.63,0,0,0,0,0,0,1,0,0
235,79251,3622,23433,6290,0.78,7,Moderate,4.570289333888532,7.9368083683486645,29.568081159859183,1.6921445980700187,8.974358974358974,5.46,0,0,0,0,0,0,1,0,0
238,43046,4308,23716,5099,2.69,18,Severe,10.007898527156994,11.84546763926962,55.09455001626168,0.8572415763956861,6.691449814126394,48.42,0,0,0,0,0,0,0,0,1
671,36774,3893,88910,8253,1.38,19,Critical,10.58628378745853,22.44248653940284,241.7740795126992,0.7349904963294446,13.768115942028986,26.22,0,0,0,0,0,0,0,0,0
50,26919,3563,73666,7667,0.66,3,Critical,13.236004309223967,28.481741520858872,273.65801107024777,0.5301788750533497,4.545454545454545,1.98,0,0,0,1,0,0,0,0,0
253,98746,4105,56613,2048,1.0,16,Severe,4.157130415409232,2.0740080610860185,57.331942559698625,1.9645718144246993,16.0,16.0,0,0,1,0,0,0,0,0,0
910,2200,2904,20295,2521,0.56,18,Mild,132.0,114.5909090909091,922.5,0.042142824714774485,32.14285714285714,10.080000000000002,0,0,0,0,0,0,0,0,0
892,55721,1338,56113,6004,0.81,2,Mild,2.4012490802390483,10.775111717305863,100.70350496222251,1.067381970878159,2.4691358024691357,1.62,0,0,0,0,0,0,0,0,0
955,55450,975,86055,7499,1.92,6,Critical,1.7583408476104598,13.523895401262397,155.19386834986474,1.1031890619351628,3.125,11.52,0,0,0,0,0,0,0,0,0
966,52970,3294,86009,3099,0.62,9,Moderate,6.218614309986785,5.850481404568623,162.37304134415706,1.0459988716561162,14.516129032258064,5.58,0,0,0,0,1,0,0,0,0
47,8104,2380,28068,8445,0.6,17,Mild,29.36821322803554,104.20779861796643,346.34748272458046,0.15160262154306178,28.333333333333336,10.2,0,1,0,0,0,0,0,0,0
167,54009,873,74690,3134,1.57,5,Critical,1.6163972671221463,5.802736580940214,138.29176618711696,1.075564751650667,3.184713375796178,7.8500000000000005,0,1,0,0,0,0,0,0,0
172,84966,4316,49699,8144,2.99,17,Critical,5.079678930395688,9.585010474778146,58.49280888826118,1.6734343139709098,5.68561872909699,50.830000000000005,0,0,0,0,0,0,1,0,0
732,71412,1279,54510,544,2.64,11,Moderate,1.7910155155996192,0.7617767322018709,76.33170895647791,1.5271514621942763,4.166666666666666,29.040000000000003,0,0,0,1,0,0,0,0,0
25,40001,1696,45591,7392,1.52,16,Mild,4.239894002649934,18.479538011549714,113.97465063373416,0.8554246574697983,10.526315789473685,24.32,0,0,0,0,0,0,0,0,0
734,12549,1505,26256,4021,1.62,1,Critical,11.992987489042951,32.04239381624034,209.22782691847956,0.2508129585695927,0.6172839506172839,1.62,0,0,0,0,0,1,0,0,0
390,79031,517,94863,2608,0.8,6,Mild,0.6541736786830484,3.2999708974959194,120.03264541762093,1.5139043545606103,7.5,4.800000000000001,0,0,0,0,0,0,0,0,1
692,10986,2989,69905,8812,0.98,12,Moderate,27.20735481521937,80.21117786273439,636.3098488985983,0.21878120982862537,12.244897959183673,11.76,0,0,0,0,0,0,1,0,0
947,30216,3221,47341,3286,1.04,17,Critical,10.65991527667461,10.87503309504898,156.67527137940164,0.6451633566173762,16.346153846153847,17.68,0,0,0,0,1,0,0,0,0
769,81009,1493,86012,557,1.53,11,Mild,1.8430050981989656,0.6875779234406054,106.17585700354282,1.6132575120159396,7.189542483660131,16.830000000000002,0,0,0,0,0,0,0,0,0
860,67014,2964,7747,566,2.78,4,Severe,4.42295639717074,0.8445996358969767,11.56027098815173,1.4330998723952169,1.4388489208633095,11.12,1,0,0,0,0,0,0,0,0
606,91188,596,72134,4235,1.82,12,Critical,0.6535947712418301,4.644251436592534,79.10470675966135,1.9470199948115336,6.593406593406593,21.84,0,0,0,0,0,0,0,1,0
631,13091,4507,41248,522,2.22,9,Mild,34.428233137269885,3.987472309220075,315.08670078680007,0.2578317044958357,4.0540540540540535,19.98,0,0,0,0,0,0,1,0,0
993,12008,109,4887,9090,2.34,6,Severe,0.9077281812125251,75.69953364423718,40.69786808794137,0.2567920623708742,2.5641025641025643,14.04,0,0,1,0,0,0,0,0,0
267,96119,4990,90009,9953,0.81,9,Moderate,5.191481392856772,10.354872605832353,93.6432963305902,1.8980624040912635,11.11111111111111,7.290000000000001,0,1,0,0,0,0,0,0,0
837,98638,4199,93126,3211,2.08,19,Mild,4.256980068533426,3.255337699466737,94.41188994099637,1.8894927019163301,9.134615384615385,39.52,0,0,0,0,0,1,0,0,0
960,6255,3327,17933,1542,2.96,2,Mild,53.189448441247,24.652278177458033,286.6986410871303,0.12319435578805686,0.6756756756756757,5.92,0,0,0,0,0,0,0,0,1
